"","DMA","GT.MVT","GT.Burglary","GT.Larceny","GT.Rape","UCR.Rape","UCR.Burglary","UCR.Larceny","UCR.MVT","DMA.INDEX","Percentage.of.Foreign.Born","Percentage.of.MoveIn","Percentage.of.Renter","Mobility.Index","Concentrated.Disadvantage.Index","Percentage.of.Unemployed","Percentage.of.Female.Headed.Family","Percentage.of.Poverty","Heterogeneity.Index","Percentage.of.Young.Males","Percentage.of.Dropped.Out","Percentage.of.Divorced","Population.logged","Less.than.High.School","Percentage.of.White","Percentage.of.Black","Percentage.of.Hispanic","Population","Drug.Mortality.Rate","Law.Enforce.per.Thousand","Internet.Usage.HH","Median.Vehicle.HH"
"17","Chattanooga TN",55.7305027886543,67.1908707206503,52.8833551769332,74.4130067567567,39.1121866440595,57.6092910370585,71.7547691449819,42.3292026201388,1530,0.0525697967975732,0.133583486900286,0.293947403524547,-0.881909399709919,1.70474290334518,0.036900039029885,0.0756900112352159,0.0827291126243323,0.343428050783574,0.0597868671847596,0.0464290538584744,0.106574312407057,13.8274835942441,0.121986176504009,0.801833416498278,0.088210998522793,0.0755687741157755,1012045,195.434398956019,3.87729794623757,0.80777979074515,2.23148148148148
"18","Chicago IL",60.1913110310231,57.8166849043823,53.4943038612763,56.8697212837838,38.4780055929463,34.4002817643981,54.5679008585874,32.4701323768587,48,0.174121851400323,0.12415099412279,0.313796601879,-0.867399496639354,0.746067380473428,0.0436815880918734,0.0806973070541153,0.0632349801708548,0.630840464207962,0.0634716716309003,0.035375044082246,0.072987460208379,16.0853896946184,0.0818951314553248,0.541050993719823,0.164330495934639,0.213663323390401,9678231,144.70159552536,4.38747535577524,0.824824122523533,2.18958333333333
"19","Cincinnati OH",53.1786504367334,62.1781043197332,46.2677689283194,60.4560810810811,49.0505845832761,49.9240759410754,62.3156247687526,20.9206557872013,768,0.0422835376644051,0.145484513827745,0.290610443092333,-0.497294541057852,-0.947266115749977,0.0337887053699362,0.0833116884182115,0.0634922370853677,0.322865450889416,0.063274395981989,0.0350342130987292,0.092397477750495,14.6744562468196,0.0685345540599588,0.814483427483844,0.111650694156597,0.0285414673500601,2360670.5,345.518731237869,3.37488861745,0.821099455221897,2.23333333333333
"20","Cleveland-Akron (Canton) OH",49.4137075080751,58.6670835287374,45.0287327351548,61.7293074324324,47.4723498187428,48.8275757786436,45.4938570713982,27.0670246040897,255,0.0449084212335871,0.130113145614236,0.291658763612195,-1.05460663762451,0.0528643418058622,0.0390636879074645,0.083334994979684,0.0665833485025565,0.37440956397291,0.0618464304580846,0.0543639744586232,0.0985128149661122,15.1577574156987,0.073055443650046,0.77710251293619,0.140764634236189,0.0394153411742084,3827634,233.930829804986,3.64376531298447,0.807890747045836,2.11960784313725
"21","Colorado Springs-Pueblo CO",80.1449892504388,59.6175290500756,63.0345800988003,62.5443412162162,98.3551390753169,55.3223941121893,70.4306706970592,53.609245566283,1034,0.0604809986729496,0.201829003632255,0.323797191803439,2.23289807310552,-1.43804279191195,0.0371117235249284,0.0758790938124415,0.0634848811915713,0.49778730611853,0.0620380504196096,0.0453771979580261,0.0999109069424052,13.7778481500225,0.0519283766580343,0.673074167374496,0.0473081020686619,0.215597930715091,963038,206.371551855229,6.88602111235486,0.819493933464792,2.21212121212121
"22","Columbia SC",59.3271917160869,89.1761763326559,54.2937796148805,64.4277871621622,57.66896186682,71.7361013554584,81.8149844345938,55.8541242914942,924,0.0442003555197185,0.156761288667351,0.301913667350828,0.135647283732538,2.80007633676061,0.0424612410203782,0.108621406132065,0.0834517609059376,0.570657726345132,0.0589727495968333,0.0386854250409409,0.0834651260812198,13.9029351828885,0.0850131945462542,0.534206861164052,0.375862685090163,0.0490827957777452,1091360,132.312779592842,5.8720312270928,0.816006780699062,2.12626262626263
"23","Columbus OH",54.8487271896389,58.5201396487937,53.9187418086501,63.6211993243243,71.0022923390267,63.7135823581811,69.6304566298229,31.4813313167405,680,0.0647790433222062,0.163780056964873,0.333301697569615,0.981631607600413,-0.864945137758018,0.0326706563259399,0.0864961513045606,0.0674869239443933,0.380324464422223,0.0608788251174298,0.0380867201746948,0.0959344627232653,14.7071898989495,0.0666175389903955,0.775423111257788,0.1270677439225,0.0350722412572039,2439222.5,214.136984380838,4.23413608229672,0.823865714340476,2.23055555555556
"24","Dallas-Ft. Worth TX",62.6538433576021,65.4817362305247,58.8920254057869,61.3904138513514,52.6191890664984,52.2782080094957,61.2929865432715,42.7184544118254,224,0.171063542585761,0.158722748216148,0.351262941209472,1.1252648880842,0.39383446114977,0.0309990083424515,0.0915630414892536,0.070854718996151,0.652497460408086,0.0671187254578488,0.046734843296096,0.0853653289686278,15.849796902221,0.0983223293738957,0.498434834053962,0.145235198598942,0.273140779409093,7646793,101.935045712947,3.91458223074693,0.835265621844156,2.21388888888889
"25","Davenport IA-Rock Island-Moline IL",57.6539991483439,71.5960606534313,47.5864502470007,59.4731841216216,58.5006731833844,43.4683294027073,54.3704120517918,18.5476049902028,1564,0.0412488007362011,0.117651857798315,0.247021583485077,-2.35073757313603,-2.03550619678878,0.0295113530306294,0.0756817282570215,0.0601849552829835,0.293033906666643,0.0614904156795176,0.0408017635740408,0.0989811968489548,13.5490614619205,0.0683799006650611,0.835461659454767,0.0508416058060684,0.0785685848360843,766095,121.993128643605,3.85722397352809,0.806946712400884,2.20915032679739
"26","Dayton OH",57.2645222936552,60.2157261216195,47.0017138824478,65.3304476351351,54.7207580530303,58.3649856906195,59.8406685125046,24.4573324514221,638,0.0320227297082673,0.160456337048475,0.311493646916216,0.452117578454173,0.0865222792168442,0.0374998577037986,0.0864321034356318,0.071176818313308,0.313100648662847,0.0616780431661906,0.0365373480023162,0.103296051074327,14.0574770411435,0.0709867662569975,0.820908552413874,0.110374354809396,0.0239563996588032,1273751.5,348.531220791933,3.28714038805842,0.809067274046315,2.18383838383838
